Store,Rounded Saturday,Rounded Weekday,Saturday SD,Weekday SD,Region
Countdown Airport,5,8,1.26,1.97,6
Countdown Auckland City,4,9,1.29,2.2,3
Countdown Aviemore Drive,4,8,1.63,2.56,5
Countdown Birkenhead,5,8,1.71,2.83,1
Countdown Blockhouse Bay,3,8,0.5,2.25,4
Countdown Botany Downs,4,9,1.29,1.97,5
Countdown Browns Bay,5,9,1.71,3.09,1
Countdown Glenfield,5,8,1.73,2.31,1
Countdown Greenlane,4,9,1,2.83,3
Countdown Grey Lynn,3,9,1.41,2.94,3
Countdown Grey Lynn Central,6,9,1,2.75,3
Countdown Hauraki Corner,5,8,1.71,2.43,1
Countdown Henderson,5,8,1.5,2.58,2
Countdown Highland Park,3,8,0.96,2.6,5
Countdown Hobsonville,6,9,0,2.02,2
Countdown Howick,4,9,0.82,2.63,5
Countdown Kelston,4,9,1.41,2.88,4
Countdown Lincoln Road,5,9,1,2.56,2
Countdown Lynfield,4,9,1.91,2.33,4
Countdown Lynmall,4,7,1.41,1.53,4
Countdown Mairangi Bay,4,9,1.29,2.25,1
Countdown Mangere East,4,8,0.58,2.1,6
Countdown Mangere Mall,4,8,1.71,2.54,6
Countdown Manukau,6,8,0,2.16,6
Countdown Manukau Mall,4,9,1.5,2.62,6
Countdown Manurewa,4,9,1.91,2.28,6
Countdown Meadowbank,5,8,0.96,2.39,5
Countdown Meadowlands,3,9,0.82,2.39,5
Countdown Metro Albert Street,0,5,0,1.69,3
Countdown Metro Halsey Street,0,4,0,1.85,3
Countdown Milford,4,9,1.73,2.79,1
Countdown Mt Eden,5,8,1.26,2.89,3
Countdown Mt Roskill,5,8,1.71,1.93,4
Countdown Mt Wellington,4,9,1.71,2.8,5
Countdown Newmarket,4,8,0.96,2.87,3
Countdown Northcote,5,8,1.73,1.75,1
Countdown Northwest,4,8,1.89,2.14,2
Countdown Onehunga,4,8,1.71,2.34,4
Countdown Pakuranga,4,8,0.96,2.16,5
Countdown Papakura,5,8,1.73,2.45,6
Countdown Papatoetoe,3,9,0.96,2.6,6
Countdown Ponsonby,4,9,0.96,2.87,3
Countdown Pt Chevalier,5,9,1,2.29,3
Countdown Roselands,5,9,1.26,2.22,6
Countdown St Johns,4,8,1.29,2.22,5
Countdown St Lukes,3,8,1.15,2.53,3
Countdown Sunnynook,4,9,1.5,2.32,1
Countdown Sylvia Park,4,9,1.73,3.1,5
Countdown Takanini,5,8,1,2.69,6
Countdown Takapuna,3,8,1,2.58,1
Countdown Te Atatu,4,8,2.06,2.63,2
Countdown Te Atatu South,4,8,1.29,2.19,2
Countdown Three Kings,4,10,1.63,2.54,4
Countdown Victoria Street West,4,10,1.41,2.77,3
Countdown Westgate,6,9,0.58,2.31,2
FreshChoice Glen Eden,0,5,0,1.67,4
FreshChoice Half Moon Bay,0,5,0,1.86,5
FreshChoice Mangere Bridge,0,5,0,2.04,4
FreshChoice Otahuhu,0,4,0,1.4,6
FreshChoice Ranui,0,5,0,1.81,2
SuperValue Avondale,0,5,0,1.73,4
SuperValue Flatbush,0,5,0,1.69,6
SuperValue Palomino,0,5,0,1.83,2
SuperValue Papakura,0,5,0,1.75,6
SuperValue Titirangi,0,5,0,1.88,4
Countdown Distribution Centre,,,,,7
